Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,1.14,1.14e+03,9, 0, 132, 132, 132, 132
tsp_6_2,1.13,1.13e+03,9, 0, 80, 80, 80, 80
tsp_10,1.1,1.1e+03,8, 0, 212, 212, 212, 212
tsp_12,1.17,1.17e+03,8, 0, 264, 264, 264, 264
tsp_13,1.19,1.19e+03,7, 0, 269, 269, 269, 269
tsp_15,1.19,1.19e+03,7, 0, 291, 291, 291, 291
gr17,1.25,1.25e+03,6, 0, 2085, 2096, 2120, 2085
gr21,1.3,1.3e+03,6, 0, 2707, 2723, 2803, 2707
gr24,1.33,1.33e+03,6, 0, 1272, 1272, 1272, 1272
swiss42,2.23,2.23e+03,5, 3.53, 1318, 1357, 1414, 1273
gr48,1.64,1.64e+03,5, 1.59, 5126, 5372, 5566, 5046
st70,1.85,1.85e+03,5, 4.44, 705, 737, 763, 675
eil76,1.91,1.91e+03,5, 5.2, 566, 581, 590, 538
rat99,2.15,2.15e+03,5, 5.53, 1278, 1361, 1395, 1211
pr144,2.7,2.7e+03,5, 46.5, 85768, 89890, 94228, 58537
u159,2.84,2.84e+03,5, 26.6, 53273, 56859, 59599, 42080
brg180,3.36,3.36e+03,4, 55.4, 3030, 3082, 3210, 1950
d198,3.58,3.58e+03,4, 21.2, 19124, 20528, 21443, 15780
gr202,3.25,3.25e+03,4, 13.2, 45466, 47743, 49276, 40160
gr229,3.94,3.94e+03,3, 23.6, 166422, 174170, 181268, 134602
gil262,4.29,4.29e+03,3, 36.3, 3242, 3288, 3344, 2378
lin318,4.94,4.94e+03,3, 51.1, 63521, 69725, 75253, 42029
fl417,6.42,6.42e+03,3, 217, 37548, 39165, 40589, 11861
pcb442,6.7,6.7e+03,3, 62.3, 82425, 85825, 88937, 50778
