Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,0.847056,847,1, 0, 132, 132, 132, 132
tsp_6_2,0.777,777,1, 0, 80, 80, 80, 80
tsp_10,1.78,1.78e+03,1, 0, 212, 212, 212, 212
tsp_12,0.983,983,1, 0, 264, 264, 264, 264
tsp_13,0.957,957,1, 0, 269, 269, 269, 269
tsp_15,1.03,1.03e+03,1, 0, 291, 291, 291, 291
gr17,1.16,1.16e+03,1, 0.24, 2090, 2090, 2090, 2085
gr21,1.32,1.32e+03,1, 0, 2707, 2707, 2707, 2707
gr24,1.16,1.16e+03,1, 0, 1272, 1272, 1272, 1272
swiss42,3.19,3.19e+03,1, 0, 1273, 1273, 1273, 1273
gr48,1.54,1.54e+03,1, 0.555, 5074, 5074, 5074, 5046
st70,1.75,1.75e+03,1, 0, 675, 675, 675, 675
eil76,1.94,1.94e+03,1, 2.23, 550, 550, 550, 538
rat99,2.02,2.02e+03,1, 2.97, 1247, 1247, 1247, 1211
pr144,2.65,2.65e+03,1, 1.88, 59635, 59635, 59635, 58537
u159,2.74,2.74e+03,1, 3.98, 43753, 43753, 43753, 42080
brg180,2.89,2.89e+03,1, 1.03, 1970, 1970, 1970, 1950
d198,3.15,3.15e+03,1, 3.04, 16260, 16260, 16260, 15780
gr202,3.13,3.13e+03,1, 4.29, 41881, 41881, 41881, 40160
gr229,3.48,3.48e+03,1, 4.47, 140622, 140622, 140622, 134602
gil262,4.11,4.11e+03,1, 5.68, 2513, 2513, 2513, 2378
lin318,4.39,4.39e+03,1, 6.59, 44800, 44800, 44800, 42029
fl417,5.46,5.46e+03,1, 5.52, 12516, 12516, 12516, 11861
pcb442,5.64,5.64e+03,1, 7.12, 54395, 54395, 54395, 50778
