Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,2.82671,2.83e+03,9, 0, 132, 132, 132, 132
tsp_6_2,2.58,2.58e+03,9, 0, 80, 80, 80, 80
tsp_10,3.45,3.45e+03,8, 0, 212, 212, 212, 212
tsp_12,3.6,3.6e+03,8, 0, 264, 264, 264, 264
tsp_13,3.68,3.68e+03,7, 0, 269, 269, 269, 269
tsp_15,4.55,4.55e+03,7, 0, 291, 291, 291, 291
gr17,4.96,4.96e+03,6, 0, 2085, 2088, 2103, 2085
gr21,5.15,5.15e+03,6, 0, 2707, 2707, 2707, 2707
gr24,5.4,5.4e+03,6, 0, 1272, 1274, 1286, 1272
swiss42,10.4,1.04e+04,5, 0, 1273, 1279, 1303, 1273
gr48,6.97,6.97e+03,5, 0.515, 5072, 5093, 5123, 5046
st70,7.87,7.87e+03,5, 0, 675, 683, 698, 675
eil76,8.4,8.4e+03,5, 0.929, 543, 553, 569, 538
rat99,9.29,9.29e+03,5, 1.16, 1225, 1277, 1307, 1211
pr144,11.1,1.11e+04,5, 8.11, 63284, 65893, 69788, 58537
u159,11.9,1.19e+04,5, 6.08, 44638, 46162, 48460, 42080
brg180,12.3,1.23e+04,4, 36.4, 2660, 2807, 2910, 1950
d198,13.3,1.33e+04,4, 3.43, 16322, 16734, 16969, 15780
gr202,12.9,1.29e+04,4, 6.71, 42854, 43354, 43691, 40160
gr229,14.6,1.46e+04,3, 9.28, 147089, 149002, 152459, 134602
gil262,15.5,1.55e+04,3, 12.2, 2667, 2733, 2785, 2378
lin318,18.3,1.83e+04,3, 18.3, 49705, 51089, 51944, 42029
fl417,21.5,2.15e+04,3, 22.1, 14480, 15646, 17941, 11861
pcb442,22.7,2.27e+04,3, 19.8, 60851, 62736, 63727, 50778
