Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,2.74278,2.74e+03,1, 0, 132, 132, 132, 132
tsp_6_2,2.88,2.88e+03,1, 0, 80, 80, 80, 80
tsp_10,2.95,2.95e+03,1, 0, 212, 212, 212, 212
tsp_12,3.16,3.16e+03,1, 0, 264, 264, 264, 264
tsp_13,2.94,2.94e+03,1, 0, 269, 269, 269, 269
tsp_15,3.04,3.04e+03,1, 0, 291, 291, 291, 291
gr17,4.14,4.14e+03,1, 0, 2085, 2085, 2085, 2085
gr21,3.87,3.87e+03,1, 0, 2707, 2707, 2707, 2707
gr24,4.55,4.55e+03,1, 0, 1272, 1272, 1272, 1272
swiss42,11.8,1.18e+04,1, 0, 1273, 1273, 1273, 1273
gr48,4.09,4.09e+03,1, 0.773, 5085, 5085, 5085, 5046
st70,4.46,4.46e+03,1, 0.593, 679, 679, 679, 675
eil76,4.48,4.48e+03,1, 1.86, 548, 548, 548, 538
rat99,5.09,5.09e+03,1, 0.991, 1223, 1223, 1223, 1211
pr144,7.06,7.06e+03,1, 0.448, 58799, 58799, 58799, 58537
u159,7.46,7.46e+03,1, 1.02, 42511, 42511, 42511, 42080
brg180,7.79,7.79e+03,1, 0.513, 1960, 1960, 1960, 1950
d198,8.1,8.1e+03,1, 0.976, 15934, 15934, 15934, 15780
gr202,8.34,8.34e+03,1, 1.38, 40716, 40716, 40716, 40160
gr229,9.8,9.8e+03,1, 3.47, 139268, 139268, 139268, 134602
gil262,10.9,1.09e+04,1, 3.83, 2469, 2469, 2469, 2378
lin318,10.9,1.09e+04,1, 5.12, 44182, 44182, 44182, 42029
fl417,14.8,1.48e+04,1, 1.9, 12086, 12086, 12086, 11861
pcb442,14.8,1.48e+04,1, 6.6, 54127, 54127, 54127, 50778
