Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,0.990716,991,1, 0, 132, 132, 132, 132
tsp_6_2,0.963,963,1, 0, 80, 80, 80, 80
tsp_10,1.02,1.02e+03,1, 0, 212, 212, 212, 212
tsp_12,1.08,1.08e+03,1, 0, 264, 264, 264, 264
tsp_13,1.05,1.05e+03,1, 0, 269, 269, 269, 269
tsp_15,1.07,1.07e+03,1, 0, 291, 291, 291, 291
tsp_17,1.12,1.12e+03,1, 0, 39, 39, 39, 39
gr17,1.12,1.12e+03,1, 0, 2085, 2085, 2085, 2085
gr21,1.3,1.3e+03,1, 0, 2707, 2707, 2707, 2707
gr24,1.23,1.23e+03,1, 0, 1272, 1272, 1272, 1272
swiss42,2.82,2.82e+03,1, 0, 1273, 1273, 1273, 1273
gr48,1.5,1.5e+03,1, 2.66, 5180, 5180, 5180, 5046
st70,1.6,1.6e+03,1, 0, 675, 675, 675, 675
eil76,1.66,1.66e+03,1, 4.28, 561, 561, 561, 538
rat99,1.9,1.9e+03,1, 5.04, 1272, 1272, 1272, 1211
gr137,2.51,2.51e+03,1, 6.68, 74517, 74517, 74517, 69853
pr144,2.61,2.61e+03,1, 1.44, 59381, 59381, 59381, 58537
u159,2.82,2.82e+03,1, 3.35, 43488, 43488, 43488, 42080
brg180,3.22,3.22e+03,1, 0.513, 1960, 1960, 1960, 1950
rat195,3.15,3.15e+03,1, 7.66, 2501, 2501, 2501, 2323
d198,3.12,3.12e+03,1, 1.46, 16011, 16011, 16011, 15780
gr202,5.06,5.06e+03,1, 3.85, 41708, 41708, 41708, 40160
gr229,3.56,3.56e+03,1, 5.99, 142662, 142662, 142662, 134602
gil262,4.13,4.13e+03,1, 7.61, 2559, 2559, 2559, 2378
pr299,4.22,4.22e+03,1, 8.67, 52367, 52367, 52367, 48191
lin318,4.53,4.53e+03,1, 5.88, 44501, 44501, 44501, 42029
rd400,6.17,6.17e+03,1, 10.5, 16885, 16885, 16885, 15281
fl417,5.57,5.57e+03,1, 3.87, 12320, 12320, 12320, 11861
pcb442,5.54,5.54e+03,1, 8.6, 55145, 55145, 55145, 50778
