Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,0.418317,418,9, 0, 132, 132, 132, 132
tsp_6_2,0.437,437,9, 0, 80, 80, 80, 80
tsp_10,1.06,1.06e+03,8, 0, 212, 212, 212, 212
tsp_12,0.454,454,8, 0, 264, 264, 264, 264
tsp_13,0.481,481,7, 0, 269, 269, 269, 269
tsp_15,0.493,493,7, 0, 291, 291, 291, 291
gr17,0.569,569,6, 0, 2085, 2085, 2090, 2085
gr21,0.526,526,6, 0, 2707, 2722, 2801, 2707
gr24,0.556,556,6, 0, 1272, 1273, 1278, 1272
swiss42,1.45,1.45e+03,5, 0, 1273, 1280, 1301, 1273
gr48,0.683,683,5, 0, 5046, 5079, 5113, 5046
st70,0.74,740,5, 0.296, 677, 685, 691, 675
eil76,0.736,736,5, 1.3, 545, 562, 577, 538
rat99,0.804,804,5, 1.57, 1230, 1249, 1287, 1211
pr144,1.8,1.8e+03,5, 0.477, 58816, 60032, 63891, 58537
u159,1.22,1.22e+03,5, 4.87, 44129, 44798, 46337, 42080
brg180,1.36,1.36e+03,4, 0.513, 1960, 1967, 1970, 1950
d198,1.41,1.41e+03,4, 1.71, 16050, 16152, 16241, 15780
gr202,1.49,1.49e+03,4, 3.3, 41485, 41987, 42567, 40160
gr229,1.6,1.6e+03,3, 3.42, 139211, 143152, 145774, 134602
gil262,1.77,1.77e+03,3, 6.52, 2533, 2596, 2646, 2378
lin318,1.96,1.96e+03,3, 7.13, 45026, 46035, 47425, 42029
fl417,2.44,2.44e+03,3, 5.64, 12530, 12827, 13058, 11861
pcb442,2.52,2.52e+03,3, 12.2, 56977, 57308, 57610, 50778
