Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,0.47565,476,9, 0, 132, 132, 132, 132
tsp_6_2,0.593,593,9, 0, 80, 80, 80, 80
tsp_10,0.607,607,8, 0, 212, 212, 212, 212
tsp_12,0.526,526,8, 0, 264, 264, 264, 264
tsp_13,0.513,513,7, 0, 269, 269, 269, 269
tsp_15,0.506,506,7, 0, 291, 291, 291, 291
gr17,0.553,553,6, 0, 2085, 2086, 2090, 2085
gr21,0.601,601,6, 0, 2707, 2707, 2707, 2707
gr24,0.675,675,6, 0, 1272, 1274, 1289, 1272
swiss42,1.42,1.42e+03,5, 0, 1273, 1283, 1301, 1273
gr48,0.735,735,5, 0.0595, 5049, 5083, 5115, 5046
st70,0.749,749,5, 0.889, 681, 687, 701, 675
eil76,0.787,787,5, 1.86, 548, 554, 561, 538
rat99,0.867,867,5, 2.48, 1241, 1267, 1296, 1211
pr144,1.84,1.84e+03,5, 0.12, 58607, 60180, 62212, 58537
u159,1.26,1.26e+03,5, 3.3, 43469, 44322, 45176, 42080
brg180,1.5,1.5e+03,4, 0.513, 1960, 1967, 1980, 1950
d198,1.62,1.62e+03,4, 1.58, 16029, 16175, 16336, 15780
gr202,1.48,1.48e+03,4, 3.39, 41522, 42361, 43265, 40160
gr229,1.58,1.58e+03,3, 4.35, 140461, 141687, 142543, 134602
gil262,1.74,1.74e+03,3, 8.07, 2570, 2575, 2581, 2378
lin318,2.02,2.02e+03,3, 6.97, 44959, 45559, 45975, 42029
fl417,2.51,2.51e+03,3, 6.74, 12661, 13047, 13328, 11861
pcb442,2.69,2.69e+03,3, 12.5, 57134, 57666, 58119, 50778
