Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,0.101981,102,9, 0, 132, 132, 132, 132
tsp_6_2,0.103,103,9, 0, 80, 80, 80, 80
tsp_10,0.146,146,8, 0, 212, 212, 212, 212
tsp_12,0.175,175,8, 0, 264, 264, 264, 264
tsp_13,0.194,194,7, 0, 269, 269, 269, 269
tsp_15,0.229,229,7, 0, 291, 291, 291, 291
tsp_17,0.272,272,7, 0, 39, 39, 39, 39
gr17,0.276,276,6, 0, 2085, 2093, 2120, 2085
gr21,0.357,357,6, 0, 2707, 2707, 2707, 2707
gr24,0.412,412,6, 0, 1272, 1302, 1328, 1272
swiss42,0.838,838,5, 4.08, 1325, 1378, 1433, 1273
gr48,1.06,1.06e+03,5, 0.297, 5061, 5190, 5309, 5046
st70,1.68,1.68e+03,5, 2.81, 694, 736, 774, 675
eil76,1.86,1.86e+03,5, 5.2, 566, 580, 595, 538
rat99,2.76,2.76e+03,5, 12.2, 1359, 1407, 1472, 1211
gr137,4.76,4.76e+03,5, 12.3, 78437, 82505, 87590, 69853
pr144,5.17,5.17e+03,5, 40.2, 82080, 91300, 103260, 58537
u159,6.06,6.06e+03,5, 21.6, 51176, 53475, 55825, 42080
brg180,8.34,8.34e+03,4, 52.8, 2980, 3000, 3040, 1950
rat195,9.15,9.15e+03,4, 22.3, 2841, 2888, 2954, 2323
d198,9.45,9.45e+03,4, 34.4, 21201, 22306, 23977, 15780
gr202,11.2,1.12e+04,4, 14.2, 45845, 47546, 51455, 40160
gr229,13.9,1.39e+04,3, 25.2, 168469, 175097, 182072, 134602
gil262,16.7,1.67e+04,3, 38.7, 3299, 3387, 3484, 2378
pr299,22.3,2.23e+04,3, 49.1, 71856, 74374, 76461, 48191
lin318,24.6,2.46e+04,3, 45.8, 61262, 63352, 66200, 42029
rd400,37.8,3.78e+04,3, 47.2, 22488, 22696, 23024, 15281
