Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,0.841346,841,9, 0, 132, 132, 132, 132
tsp_6_2,0.766,766,9, 0, 80, 80, 85, 80
tsp_10,0.903,903,8, 0, 212, 212, 212, 212
tsp_12,0.844,844,8, 0, 264, 264, 264, 264
tsp_13,0.844,844,7, 0, 269, 269, 269, 269
tsp_15,1.01,1.01e+03,7, 0, 291, 291, 291, 291
gr17,0.885,885,6, 0, 2085, 2087, 2090, 2085
gr21,0.961,961,6, 0, 2707, 2707, 2707, 2707
gr24,1.46,1.46e+03,6, 0, 1272, 1273, 1278, 1272
swiss42,2.28,2.28e+03,5, 0, 1273, 1275, 1284, 1273
gr48,1.3,1.3e+03,5, 0.238, 5058, 5085, 5121, 5046
st70,1.33,1.33e+03,5, 0.741, 680, 684, 686, 675
eil76,1.32,1.32e+03,5, 1.67, 547, 553, 560, 538
rat99,1.49,1.49e+03,5, 1.82, 1233, 1242, 1250, 1211
pr144,3.25,3.25e+03,5, 0.0905, 58590, 58984, 60060, 58537
u159,2.21,2.21e+03,5, 1.39, 42664, 43744, 44910, 42080
brg180,2.46,2.46e+03,4, 0.513, 1960, 1960, 1960, 1950
d198,2.59,2.59e+03,4, 1.1, 15953, 16095, 16203, 15780
gr202,2.63,2.63e+03,4, 1.96, 40947, 41181, 41305, 40160
gr229,2.83,2.83e+03,3, 2.53, 138005, 139539, 140806, 134602
gil262,3.24,3.24e+03,3, 7.28, 2551, 2578, 2593, 2378
lin318,3.75,3.75e+03,3, 5.7, 44423, 44888, 45427, 42029
fl417,4.45,4.45e+03,3, 2.3, 12134, 12158, 12186, 11861
pcb442,4.88,4.88e+03,3, 8.16, 54924, 55452, 56251, 50778
