Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,0.885602,886,9, 0, 132, 132, 132, 132
tsp_6_2,0.849,849,9, 0, 80, 80, 85, 80
tsp_10,0.901,901,8, 0, 212, 212, 212, 212
tsp_12,1.02,1.02e+03,8, 0, 264, 264, 264, 264
tsp_13,0.955,955,7, 0, 269, 269, 269, 269
tsp_15,0.956,956,7, 0, 291, 291, 291, 291
gr17,0.994,994,6, 0, 2085, 2085, 2085, 2085
gr21,1.06,1.06e+03,6, 0, 2707, 2707, 2707, 2707
gr24,1.63,1.63e+03,6, 0, 1272, 1273, 1278, 1272
swiss42,2.61,2.61e+03,5, 0, 1273, 1281, 1305, 1273
gr48,1.41,1.41e+03,5, 0.178, 5055, 5066, 5083, 5046
st70,1.49,1.49e+03,5, 0.148, 676, 684, 699, 675
eil76,1.42,1.42e+03,5, 1.86, 548, 550, 553, 538
rat99,1.59,1.59e+03,5, 0.578, 1218, 1254, 1299, 1211
pr144,3.58,3.58e+03,5, 0.386, 58763, 59470, 60311, 58537
u159,2.42,2.42e+03,5, 2.82, 43268, 44309, 44975, 42080
brg180,2.69,2.69e+03,4, 0, 1950, 1957, 1960, 1950
d198,2.84,2.84e+03,4, 0.811, 15908, 16104, 16316, 15780
gr202,2.91,2.91e+03,4, 0.66, 40425, 41298, 41949, 40160
gr229,3.3,3.3e+03,3, 3.27, 138997, 140558, 141868, 134602
gil262,3.45,3.45e+03,3, 6.18, 2525, 2564, 2613, 2378
lin318,3.95,3.95e+03,3, 5.22, 44223, 44700, 44970, 42029
fl417,4.61,4.61e+03,3, 3.04, 12221, 12453, 12679, 11861
pcb442,4.97,4.97e+03,3, 8.07, 54874, 55919, 56923, 50778
