Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,0.597375,597,9, 0, 132, 132, 132, 132
tsp_6_2,0.616,616,9, 0, 80, 80, 85, 80
tsp_10,0.633,633,8, 0, 212, 212, 212, 212
tsp_12,0.64,640,8, 0, 264, 264, 264, 264
tsp_13,0.642,642,7, 0, 269, 269, 269, 269
tsp_15,0.695,695,7, 0, 291, 291, 291, 291
gr17,0.689,689,6, 0, 2085, 2088, 2090, 2085
gr21,0.716,716,6, 0, 2707, 2707, 2707, 2707
gr24,1.18,1.18e+03,6, 0, 1272, 1273, 1278, 1272
swiss42,1.82,1.82e+03,5, 0, 1273, 1291, 1334, 1273
gr48,0.9,900,5, 1.01, 5097, 5116, 5144, 5046
st70,0.959,959,5, 1.33, 684, 686, 688, 675
eil76,0.97,970,5, 1.3, 545, 553, 561, 538
rat99,1.05,1.05e+03,5, 4.71, 1268, 1285, 1314, 1211
pr144,2.38,2.38e+03,5, 1.07, 59163, 61322, 62745, 58537
u159,1.65,1.65e+03,5, 3.28, 43461, 44804, 47543, 42080
brg180,1.78,1.78e+03,4, 0, 1950, 1965, 1970, 1950
d198,1.87,1.87e+03,4, 2.45, 16166, 16267, 16376, 15780
gr202,1.89,1.89e+03,4, 2.32, 41092, 41651, 42302, 40160
gr229,2.09,2.09e+03,3, 5.35, 141799, 143372, 144378, 134602
gil262,2.29,2.29e+03,3, 6.98, 2544, 2578, 2633, 2378
lin318,2.57,2.57e+03,3, 8.8, 45728, 46084, 46620, 42029
fl417,3.11,3.11e+03,3, 5.86, 12556, 12935, 13194, 11861
pcb442,3.3,3.3e+03,3, 12.7, 57226, 57519, 58028, 50778
