Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,0.16649,166,9, 0, 132, 132, 132, 132
tsp_6_2,0.162,162,9, 0, 80, 80, 80, 80
tsp_10,0.159,159,8, 0, 212, 212, 212, 212
tsp_12,0.156,156,8, 0, 264, 264, 264, 264
tsp_13,0.163,163,7, 0, 269, 269, 269, 269
tsp_15,0.166,166,7, 0, 291, 291, 291, 291
gr17,0.181,181,6, 0, 2085, 2091, 2103, 2085
gr21,0.182,182,6, 0, 2707, 2755, 3000, 2707
gr24,0.188,188,6, 0, 1272, 1310, 1379, 1272
swiss42,0.218,218,5, 3.3, 1315, 1370, 1434, 1273
gr48,0.24,240,5, 2.99, 5197, 5373, 5576, 5046
st70,0.259,259,5, 10.7, 747, 794, 814, 675
eil76,0.267,267,5, 8.18, 582, 604, 629, 538
rat99,0.33,330,5, 16.1, 1406, 1517, 1628, 1211
pr144,0.436,436,5, 56.8, 91766, 104594, 111196, 58537
u159,0.413,413,5, 53.9, 64757, 65888, 67306, 42080
brg180,0.513,513,4, 69.7, 3310, 3370, 3460, 1950
d198,0.475,475,4, 45.3, 22934, 25261, 27286, 15780
gr202,0.499,499,4, 30.5, 52404, 54621, 55932, 40160
gr229,0.547,547,3, 47, 197867, 211169, 224411, 134602
gil262,0.621,621,3, 62.2, 3858, 4164, 4555, 2378
lin318,0.78,780,3, 96.7, 82668, 83797, 85369, 42029
