Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,0.871296,871,9, 0, 132, 132, 132, 132
tsp_6_2,0.85,850,9, 0, 80, 80, 80, 80
tsp_10,0.75,750,8, 0, 212, 212, 212, 212
tsp_12,0.744,744,8, 0, 264, 264, 264, 264
tsp_13,0.795,795,7, 0, 269, 269, 269, 269
tsp_15,0.841,841,7, 0, 291, 293, 307, 291
gr17,0.86,860,6, 0, 2085, 2086, 2090, 2085
gr21,0.922,922,6, 0, 2707, 2707, 2707, 2707
gr24,0.871,871,6, 0, 1272, 1280, 1305, 1272
swiss42,1.05,1.05e+03,5, 3.3, 1315, 1353, 1401, 1273
gr48,1.14,1.14e+03,5, 0.159, 5054, 5170, 5518, 5046
st70,1.22,1.22e+03,5, 6.37, 718, 754, 790, 675
eil76,1.27,1.27e+03,5, 5.58, 568, 583, 595, 538
rat99,1.47,1.47e+03,5, 9.17, 1322, 1379, 1466, 1211
pr144,1.83,1.83e+03,5, 35.5, 79328, 85786, 90937, 58537
u159,1.9,1.9e+03,5, 19.7, 50355, 56996, 61291, 42080
brg180,2.09,2.09e+03,4, 52.8, 2980, 3080, 3220, 1950
d198,2.26,2.26e+03,4, 19, 18773, 20129, 22066, 15780
gr202,2.31,2.31e+03,4, 23, 49386, 49929, 50301, 40160
gr229,2.62,2.62e+03,3, 20.2, 161819, 171414, 177480, 134602
gil262,2.85,2.85e+03,3, 29.7, 3084, 3400, 3564, 2378
lin318,3.6,3.6e+03,3, 56.4, 65748, 70029, 74504, 42029
fl417,5.17,5.17e+03,3, 173, 32350, 37322, 41677, 11861
pcb442,5.51,5.51e+03,3, 63.8, 83166, 87236, 89944, 50778
